"year(cout)","month(cout)","deweyBin","Mexico","Ireland","Spain","Israel","Egypt","Vietnam","Germany","Russia","China","Cuba","Iraq","Japan"
2009,6,16,0,2,0,0,0,0,0,0,0,0,0,0
2009,12,16,0,1,0,0,0,0,0,0,0,0,0,0
2010,11,16,0,1,0,0,0,0,0,0,0,0,0,0
2012,2,16,0,0,0,0,0,1,0,0,0,0,0,0
2013,6,16,0,1,0,0,0,0,0,0,0,0,0,0
2014,5,16,0,1,0,0,0,0,0,0,0,0,0,0
2014,8,16,0,1,0,0,0,0,0,0,0,0,0,0
2015,9,16,0,1,0,0,0,0,0,0,0,0,0,0
2016,4,16,0,1,0,0,0,0,0,0,0,0,0,0
2008,2,20,0,0,0,0,0,0,0,0,1,0,0,0
2014,5,21,0,0,0,0,0,0,0,0,0,5,0,0
2014,6,21,0,0,0,0,0,0,0,0,0,8,0,0
2014,7,21,0,0,0,0,0,0,0,0,0,4,0,0
2014,8,21,0,0,0,0,0,0,0,0,0,4,0,0
2014,9,21,0,0,0,0,0,0,0,0,0,4,0,0
2014,10,21,0,0,0,0,0,0,0,0,0,4,0,0
2014,11,21,0,0,0,0,0,0,0,0,0,2,0,0
2014,12,21,0,0,0,0,0,0,0,0,0,2,0,0
2015,1,21,0,0,0,0,0,0,0,0,0,1,0,0
2015,3,21,0,0,0,0,0,0,0,0,0,4,0,0
2015,4,21,0,0,0,0,0,0,0,0,0,2,0,0
2015,5,21,0,0,0,0,0,0,0,0,0,1,0,0
2015,6,21,0,0,0,0,0,0,0,0,0,1,0,0
2015,8,21,0,0,0,0,0,0,0,0,0,2,0,0
2015,9,21,0,0,0,0,0,0,0,0,0,1,0,0
2015,10,21,0,0,0,0,0,0,0,0,0,1,0,0
2015,11,21,0,0,0,0,0,0,0,0,0,3,0,0
2015,12,21,0,0,0,0,0,0,0,0,0,1,0,0
2016,1,21,0,0,0,0,0,0,0,0,0,2,0,0
2016,3,21,0,0,0,0,0,0,0,0,0,1,0,0
2016,5,21,0,0,0,0,0,0,0,0,0,1,0,0
2016,11,21,0,0,0,0,0,0,0,0,0,2,0,0
2006,2,25,0,0,0,0,0,0,0,0,2,0,0,0
2006,3,25,0,0,0,0,0,0,0,0,1,0,0,0
2006,4,25,0,0,0,0,0,0,0,0,1,0,0,0
2006,5,25,0,0,0,0,0,0,0,0,1,0,0,0
2006,6,25,0,0,0,0,0,0,0,0,1,0,0,0
2006,7,25,0,0,0,0,0,0,0,0,2,0,0,0
2006,8,25,0,0,0,0,0,0,0,0,4,0,0,0
2006,10,25,0,0,0,0,0,0,0,0,3,0,0,0
2006,12,25,0,0,0,0,0,0,0,0,1,0,0,0
2007,1,25,0,0,0,0,0,0,0,0,1,0,0,0
2007,2,25,0,0,0,0,0,0,0,0,1,0,0,0
2007,3,25,0,0,0,0,0,0,0,0,1,0,0,0
2007,4,25,0,0,0,0,0,0,0,0,1,0,0,0
2007,5,25,0,0,0,0,0,0,0,0,1,0,0,0
2007,6,25,0,0,0,0,0,0,0,0,2,0,0,0
2007,8,25,0,0,0,0,0,0,0,0,1,0,0,0
2007,11,25,0,0,0,0,0,0,0,0,2,0,0,0
2008,1,25,0,0,0,0,0,0,0,0,1,0,0,0
2008,2,25,0,0,0,0,0,0,0,0,1,0,0,0
2008,3,25,0,0,0,0,0,0,0,0,3,0,0,0
2008,4,25,0,0,0,0,0,0,0,0,1,0,0,0
2008,7,25,0,0,0,0,0,0,0,0,1,0,0,0
2008,8,25,0,0,0,0,0,0,0,0,1,0,0,0
2008,11,25,0,0,0,0,0,0,0,0,1,0,0,0
2008,12,25,0,0,0,0,0,0,0,0,1,0,0,0
2009,1,25,0,0,0,0,0,0,0,0,1,0,0,0
2009,2,25,0,0,0,0,0,0,0,0,1,0,0,0
2009,3,25,0,0,0,0,0,0,0,0,1,0,0,0
2009,5,25,0,0,0,0,0,0,0,0,1,0,0,0
2009,6,25,0,0,0,0,0,0,0,0,2,0,0,0
2009,7,25,0,0,1,0,0,0,0,0,0,0,0,0
2009,8,25,0,0,1,0,0,0,0,0,0,0,0,0
2009,9,25,0,0,1,0,0,0,0,0,0,0,0,0
2009,10,25,0,0,4,0,0,0,0,0,0,0,0,0
2009,12,25,0,0,1,0,0,0,0,0,0,0,0,0
2010,1,25,0,0,2,0,0,0,0,0,0,0,0,0
2010,2,25,0,0,1,0,0,0,0,0,0,0,0,0
2010,3,25,0,0,3,0,0,0,0,0,1,0,0,0
2010,4,25,0,0,2,0,0,0,0,0,0,0,0,0
2010,5,25,0,0,1,0,0,0,0,0,1,0,0,0
2010,6,25,0,0,1,0,0,0,0,0,0,0,0,0
2010,7,25,0,0,2,0,0,0,0,0,0,0,0,0
2010,8,25,0,0,2,0,0,0,0,0,1,0,0,0
2010,9,25,0,0,1,0,0,0,0,0,1,0,0,0
2010,11,25,0,0,2,0,0,0,0,0,0,0,0,0
2011,1,25,0,0,4,0,0,0,0,0,0,0,0,0
2011,2,25,0,0,1,0,0,0,0,0,0,0,0,0
2011,3,25,0,0,0,0,0,0,0,0,1,0,0,0
2011,5,25,0,0,2,0,0,0,0,0,0,0,0,0
2011,8,25,0,0,2,0,0,0,0,0,0,0,0,0
2011,9,25,0,0,1,0,0,0,0,0,0,0,0,0
2011,10,25,0,0,1,0,0,0,0,0,0,0,0,0
2011,11,25,0,0,0,0,0,0,0,0,1,0,0,0
2011,12,25,0,0,1,0,0,0,0,0,0,0,0,0
2012,1,25,0,0,2,0,0,0,0,0,0,0,0,0
2012,2,25,0,0,3,0,0,0,0,0,1,0,0,0
2012,3,25,0,0,2,0,0,0,0,0,0,0,0,0
2012,4,25,0,0,3,0,0,0,0,0,0,0,0,0
2012,6,25,0,0,3,0,0,0,0,0,0,0,0,0
2012,7,25,0,0,1,0,0,0,0,0,1,0,0,0
2012,9,25,0,0,1,0,0,0,0,0,0,0,0,0
2012,10,25,0,0,1,0,0,0,0,0,0,0,0,0
2012,11,25,0,0,3,0,0,0,0,0,1,0,0,0
2012,12,25,0,0,2,0,0,0,0,0,0,0,0,0
2013,1,25,0,0,1,0,0,0,0,0,0,0,0,0
2013,2,25,0,0,1,0,0,0,0,0,0,0,0,0
2013,3,25,0,0,1,0,0,0,0,0,0,0,0,0
2013,7,25,0,0,2,0,0,0,0,0,0,0,0,0
2013,8,25,0,0,1,0,0,0,0,0,0,0,0,0
2013,10,25,0,0,1,0,0,0,0,0,0,0,0,0
2014,1,25,0,0,1,0,0,0,0,0,0,0,0,0
2014,4,25,0,0,1,0,0,0,0,0,0,0,0,0
2014,5,25,0,0,1,0,0,0,0,0,0,0,0,0
2014,7,25,0,0,1,0,0,0,0,0,0,0,0,0
2014,9,25,0,0,2,0,0,0,0,0,0,0,0,0
2014,10,25,0,0,3,0,0,0,0,0,0,0,0,0
2015,1,25,0,0,1,0,0,0,0,0,0,0,0,0
2015,2,25,0,0,2,0,0,0,0,0,0,0,0,0
2015,3,25,0,0,1,0,0,0,0,0,0,0,0,0
2015,8,25,0,0,2,0,0,0,0,0,0,0,0,0
2015,9,25,0,0,1,0,0,0,0,0,0,0,0,0
2015,10,25,0,0,1,0,0,0,0,0,0,0,0,0
2015,12,25,0,0,2,0,0,0,0,0,0,0,0,0
2016,3,25,0,0,2,0,0,0,0,0,0,0,0,0
2016,6,25,0,0,2,0,0,0,0,0,0,0,0,0
2016,10,25,0,0,1,0,0,0,0,0,0,0,0,0
2016,11,25,0,0,1,0,0,0,0,0,0,0,0,0
2006,4,27,0,0,1,0,0,0,0,0,0,0,0,0
2007,12,27,0,0,1,0,0,0,0,0,0,0,0,0
2008,9,27,0,0,0,0,0,0,0,0,0,0,3,0
2008,10,27,0,0,0,0,0,0,0,0,0,0,7,0
2008,11,27,0,0,0,0,0,0,0,0,0,0,3,0
2009,1,27,0,0,1,0,0,0,0,0,0,0,2,0
2009,2,27,0,0,1,0,0,0,0,0,0,0,2,0
2009,3,27,0,0,0,0,0,0,0,0,0,0,3,0
2009,4,27,0,0,0,0,0,0,0,0,0,0,5,0
2009,5,27,0,0,0,0,0,0,0,0,0,0,1,0
2009,6,27,0,0,0,0,0,0,0,0,0,0,7,0
2009,7,27,0,0,0,0,0,0,0,0,0,0,1,0
2009,8,27,0,0,0,0,0,0,0,0,0,0,1,0
2009,9,27,0,0,0,0,0,0,0,0,0,0,1,0
2009,12,27,0,0,0,0,0,0,0,0,0,0,1,0
2010,1,27,0,0,0,0,0,0,0,0,0,0,1,0
2010,2,27,0,0,0,0,0,0,0,0,0,0,2,0
2010,3,27,0,0,0,0,0,0,0,0,0,0,1,0
2010,4,27,0,0,0,0,0,0,0,0,0,0,1,0
2010,6,27,0,0,0,0,0,0,0,0,0,0,1,0
2010,7,27,0,0,0,0,0,0,0,0,0,0,1,0
2010,8,27,0,0,0,0,0,0,0,0,0,0,1,0
2010,10,27,0,0,1,0,0,0,0,0,0,0,1,0
2011,1,27,0,0,0,0,0,0,0,0,0,0,2,0
2011,3,27,0,0,0,0,0,0,0,0,0,0,1,0
2011,4,27,0,0,0,0,0,0,0,0,0,0,1,0
2011,5,27,0,0,1,0,0,0,0,0,0,0,1,0
2011,9,27,0,0,0,0,0,0,0,0,0,0,1,0
2012,4,27,0,0,0,0,0,0,0,0,0,0,1,0
2012,5,27,0,0,1,0,0,0,0,0,0,0,2,0
2012,6,27,0,0,0,0,0,0,0,0,0,0,2,0
2012,7,27,0,0,0,0,0,0,0,0,0,0,1,0
2012,10,27,0,0,0,0,0,0,0,0,0,0,1,0
2012,11,27,0,0,0,0,0,0,0,0,0,0,1,0
2012,12,27,0,0,1,0,0,0,0,0,0,0,0,0
2013,1,27,0,0,0,0,0,0,0,0,0,0,1,0
2013,4,27,0,0,0,0,0,0,0,0,0,0,2,0
2013,6,27,0,0,0,0,0,0,0,0,0,0,1,0
2013,9,27,0,0,0,0,0,0,0,0,0,0,1,0
2013,10,27,0,0,0,0,0,0,0,0,0,0,1,0
2013,11,27,0,0,0,0,0,0,0,0,0,0,1,0
2014,5,27,0,0,0,0,0,0,0,0,0,0,1,0
2014,6,27,0,0,0,0,0,0,0,0,0,0,1,0
2014,7,27,0,0,0,0,0,0,0,0,0,0,1,0
2014,8,27,0,0,0,0,0,0,0,0,0,0,1,0
2014,9,27,0,0,0,0,0,0,0,0,0,0,2,0
2014,10,27,0,0,1,0,0,0,0,0,0,0,0,0
2015,3,27,0,0,1,0,0,0,0,0,0,0,1,0
2015,6,27,0,0,0,0,0,0,0,0,0,0,1,0
2015,8,27,0,0,0,0,0,0,0,0,0,0,1,0
2016,8,27,0,0,0,0,0,0,0,0,0,0,1,0
2006,1,59,0,0,0,0,1,0,0,0,0,0,0,0
2011,5,59,0,0,0,0,1,0,0,0,0,0,0,0
2006,2,69,0,0,0,0,0,0,0,0,0,0,0,1
2006,4,69,0,0,0,1,0,0,0,0,0,0,0,1
2006,5,69,0,0,0,0,0,0,0,0,0,0,0,2
2006,6,69,0,0,0,0,0,0,0,0,0,0,0,1
2006,8,69,0,0,0,0,0,0,0,0,0,0,0,1
2006,9,69,0,0,0,0,0,0,0,0,0,0,0,1
2007,6,69,0,0,0,0,0,0,0,0,0,0,0,1
2007,7,69,0,0,0,1,0,0,0,0,0,0,0,0
2008,5,69,0,0,0,0,0,0,0,0,0,0,0,1
2008,10,69,0,0,0,0,0,0,0,0,0,0,0,1
2009,5,69,0,0,0,0,0,0,0,0,0,0,0,1
2010,7,69,0,0,0,0,0,0,0,0,0,0,0,1
2010,9,69,0,0,0,0,0,0,0,0,0,0,0,1
2010,10,69,0,0,0,0,0,0,0,0,0,0,0,1
2010,11,69,0,0,0,0,0,0,0,0,0,0,0,1
2011,5,69,0,0,0,0,0,0,0,0,0,0,0,1
2006,1,70,0,0,0,0,0,1,0,0,0,0,0,2
2006,2,70,0,0,0,1,0,0,0,1,0,0,1,4
2006,3,70,0,0,0,1,0,1,0,0,0,0,3,4
2006,4,70,0,0,0,1,0,3,0,0,1,0,2,3
2006,5,70,0,0,0,0,0,0,0,0,0,0,0,2
2006,6,70,0,0,0,1,0,0,0,0,1,4,2,2
2006,7,70,0,0,0,2,0,1,0,0,0,2,0,1
2006,8,70,0,0,0,0,0,0,0,0,1,3,1,1
2006,10,70,0,0,0,3,0,0,0,0,1,4,3,2
2006,11,70,0,0,0,2,0,0,0,0,0,4,2,2
2006,12,70,0,0,0,1,0,0,0,0,1,3,2,2
2007,1,70,0,0,0,0,0,0,0,0,0,0,1,0
2007,2,70,0,0,0,0,0,0,0,0,0,0,2,1
2007,3,70,0,3,0,0,0,1,0,0,0,1,2,2
2007,4,70,0,4,0,0,0,0,0,0,0,4,1,0
2007,5,70,0,4,0,0,0,0,0,0,0,1,1,1
2007,6,70,0,1,0,0,0,0,0,0,0,0,1,1
2007,7,70,0,4,0,0,0,0,0,0,0,0,2,0
2007,8,70,0,4,0,0,0,0,0,0,0,0,1,1
2007,9,70,0,2,0,0,0,0,0,0,0,0,4,2
2007,10,70,0,1,0,0,0,0,0,0,0,0,0,1
2007,11,70,0,1,0,0,0,0,0,0,1,2,2,3
2007,12,70,0,0,0,0,0,0,0,0,0,1,0,1
2008,1,70,0,0,0,0,0,0,0,0,0,2,3,3
2008,2,70,0,0,0,0,0,1,0,0,0,1,0,0
2008,3,70,0,0,0,0,0,0,0,0,0,0,1,4
2008,4,70,0,0,0,0,0,0,0,0,0,1,0,0
2008,5,70,0,0,0,0,0,0,0,0,2,1,2,0
2008,6,70,0,1,0,0,0,0,0,0,0,0,0,2
2008,7,70,0,0,0,0,0,3,0,0,0,2,1,0
2008,8,70,7,0,0,0,0,0,0,0,0,0,0,2
2008,9,70,3,0,0,0,0,1,0,0,0,0,1,0
2008,10,70,6,0,0,0,0,3,0,0,0,1,0,3
2008,11,70,2,0,0,0,0,3,0,0,0,0,3,2
2008,12,70,1,0,0,0,0,4,0,0,0,1,1,1
2009,1,70,4,0,0,0,0,1,0,0,0,0,3,1
2009,2,70,3,1,0,0,0,3,0,0,2,0,1,0
2009,3,70,4,0,0,0,0,1,0,0,0,0,1,2
2009,4,70,3,0,0,0,0,0,0,0,0,0,0,0
2009,5,70,4,0,0,0,0,0,0,0,1,0,0,0
2009,6,70,1,0,0,0,0,1,0,0,0,0,0,0
2009,7,70,1,0,0,0,0,2,0,0,1,0,1,1
2009,8,70,2,0,0,0,0,0,0,0,0,0,1,0
2009,9,70,1,0,0,0,0,1,0,0,0,0,0,0
2009,10,70,0,0,5,0,0,0,0,0,0,1,0,0
2009,11,70,0,0,5,1,0,0,0,0,0,0,0,0
2009,12,70,0,0,5,0,0,0,0,0,0,1,0,1
2010,1,70,0,0,3,0,0,0,0,0,0,1,0,0
2010,2,70,0,0,4,0,0,0,0,0,0,0,2,0
2010,3,70,1,0,2,0,0,0,0,0,1,0,0,0
2010,4,70,1,0,2,0,0,0,0,0,0,0,0,0
2010,5,70,0,0,1,0,0,0,0,0,0,0,0,0
2010,6,70,0,0,3,0,0,0,0,0,0,0,0,1
2010,7,70,0,0,1,0,0,1,0,0,0,0,0,0
2010,8,70,0,0,1,0,0,0,0,0,0,0,0,1
2010,9,70,1,0,0,1,0,0,0,0,1,1,0,1
2010,10,70,1,0,0,0,0,0,0,0,0,0,0,0
2010,11,70,0,0,1,0,0,0,0,0,0,2,0,1
2011,1,70,2,0,2,0,0,0,0,0,0,0,0,1
2011,2,70,0,0,1,0,0,0,0,0,0,0,0,0
2011,3,70,0,0,1,0,0,1,0,0,0,0,0,1
2011,4,70,0,0,2,0,0,0,0,0,0,0,1,0
2011,5,70,1,0,2,0,0,1,0,0,0,1,0,0
2011,6,70,1,0,0,0,0,0,0,0,0,1,0,0
2011,7,70,0,0,2,0,0,1,0,1,0,0,0,1
2011,8,70,1,0,1,0,0,0,0,0,0,0,0,0
2011,9,70,0,0,0,0,0,0,0,0,1,0,0,0
2011,10,70,0,0,1,0,0,0,0,0,0,0,0,0
2011,11,70,0,0,0,0,0,0,0,0,0,0,1,0
2011,12,70,0,0,2,0,0,0,0,0,0,0,0,0
2012,1,70,1,0,1,0,0,0,0,0,0,0,0,0
2012,3,70,0,0,0,0,0,1,0,0,0,0,0,0
2012,4,70,0,0,1,0,0,0,0,0,0,0,0,0
2012,5,70,0,0,1,0,0,0,0,0,0,0,1,1
2012,6,70,1,0,1,0,0,0,5,0,0,0,0,0
2012,7,70,0,0,1,0,0,1,1,0,0,0,0,0
2012,8,70,0,0,0,0,0,0,4,0,1,0,1,0
2012,9,70,0,0,1,0,0,0,2,0,0,0,0,1
2012,11,70,0,0,0,0,0,0,2,0,0,0,0,0
2012,12,70,0,0,1,0,0,0,0,0,0,0,0,0
2013,1,70,0,0,1,0,0,0,2,0,0,0,0,0
2013,2,70,0,0,1,0,0,0,1,0,0,0,0,1
2013,3,70,0,0,1,0,0,1,0,0,0,0,0,0
2013,4,70,0,0,0,0,0,0,1,0,0,0,0,1
2013,5,70,0,0,0,0,0,1,0,0,0,0,0,0
2013,6,70,0,0,0,0,0,0,0,0,0,0,0,1
2013,7,70,0,0,0,0,0,1,0,0,0,0,0,1
2013,8,70,0,0,0,0,0,1,0,0,0,0,0,1
2013,12,70,0,0,0,0,0,0,0,0,1,0,0,0
2014,1,70,0,0,1,0,0,0,0,0,1,0,1,0
2014,2,70,0,0,0,0,0,2,0,0,0,0,1,1
2014,3,70,0,0,0,0,0,0,1,0,0,0,0,1
2014,4,70,0,0,1,0,0,0,0,0,0,0,0,0
2014,6,70,0,0,1,0,0,0,0,0,1,0,0,1
2014,7,70,0,0,0,0,0,1,0,0,0,0,0,0
2014,8,70,0,0,0,0,0,0,0,0,2,0,0,0
2014,9,70,0,0,0,0,0,0,0,0,0,0,0,1
2014,10,70,0,0,0,0,0,0,0,0,0,0,0,1
2014,11,70,0,0,0,0,0,0,1,0,0,0,0,1
2014,12,70,0,0,0,0,0,0,0,0,0,0,1,0
2015,2,70,0,0,1,0,0,0,0,0,1,0,0,0
2015,4,70,0,0,0,0,0,0,0,0,0,0,1,0
2015,5,70,0,0,1,0,0,0,0,0,0,0,0,1
2015,8,70,0,0,2,0,0,0,0,0,0,0,0,0
2015,10,70,0,0,1,0,0,0,0,0,0,0,0,0
2016,1,70,0,0,0,0,0,0,0,0,1,0,0,0
2016,2,70,0,0,0,0,0,3,0,0,0,0,0,0
2016,3,70,0,0,1,0,0,0,0,0,0,0,0,0
2016,5,70,0,0,0,0,0,0,0,0,1,0,0,0
2016,10,70,0,0,0,0,0,0,1,0,0,0,7,1
2016,11,70,0,0,0,0,0,0,0,0,3,0,9,0
2016,12,70,0,0,0,0,0,0,0,0,3,0,11,0
2007,6,71,0,0,0,0,0,0,0,0,0,0,4,0
2007,7,71,0,0,0,0,0,0,0,0,0,0,3,0
2007,8,71,0,0,0,0,0,0,0,0,0,0,3,0
2007,9,71,0,0,0,0,0,0,0,0,0,0,2,0
2007,10,71,0,0,0,0,0,0,0,0,0,0,2,0
2007,11,71,0,0,0,0,0,0,0,0,0,0,3,0
2007,12,71,0,0,0,0,0,0,0,0,0,0,1,0
2008,1,71,0,0,0,0,0,0,0,0,0,0,3,0
2008,2,71,0,0,0,0,0,0,0,0,0,0,1,0
2008,3,71,0,0,0,0,0,0,0,0,0,0,1,0
2008,6,71,0,0,0,0,0,0,0,0,0,0,2,0
2008,8,71,0,0,0,0,0,0,0,0,0,0,1,0
2008,10,71,0,0,0,0,0,0,0,0,0,0,2,0
2009,1,71,0,0,0,0,0,0,0,0,0,0,2,0
2009,3,71,0,0,0,0,0,0,0,0,0,0,2,0
2009,6,71,0,0,0,0,0,0,0,0,0,0,2,0
2009,7,71,0,0,0,0,0,0,0,0,0,0,1,0
2010,1,71,0,0,0,0,0,0,0,0,0,0,1,0
2011,1,71,0,0,0,0,0,0,0,0,0,0,1,0
2012,8,71,0,0,0,0,0,0,0,0,0,0,1,0
2007,4,77,0,0,0,0,0,0,0,1,1,0,0,0
2008,8,79,0,0,0,0,0,0,0,0,1,0,0,0
2008,10,79,0,0,0,0,0,0,0,0,1,0,0,0
2009,1,79,0,0,0,0,0,0,0,0,1,0,0,0
2009,3,79,0,0,0,0,0,0,0,0,1,0,0,0
2011,5,79,0,0,0,0,0,0,0,0,1,0,0,0
2016,10,79,0,0,0,0,0,0,0,0,1,0,0,0
2006,3,82,0,0,0,0,0,0,0,0,1,0,0,0
2008,1,82,0,1,0,0,0,0,0,0,0,0,0,0
2008,10,82,0,1,0,0,0,0,0,0,0,0,0,0
2008,11,82,0,1,0,0,0,0,0,0,0,0,0,0
2009,1,82,0,0,0,0,0,0,0,0,1,0,0,0
2010,4,82,0,0,0,0,0,0,0,0,1,0,0,0
2014,4,82,0,1,0,0,0,0,0,0,0,0,0,0
2015,2,82,0,0,0,0,0,0,0,0,1,0,0,0
2007,11,103,0,0,0,0,0,1,0,0,0,0,0,0
2015,8,103,0,0,0,0,0,1,0,0,0,0,0,0
2012,7,114,0,0,0,0,0,0,1,0,0,0,0,0
2012,9,114,0,0,0,0,0,0,1,0,0,0,0,0
2012,10,114,0,0,0,0,0,0,1,0,0,0,0,0
2013,1,114,0,0,0,0,0,0,1,0,0,0,0,0
2013,6,114,0,0,0,0,0,0,1,0,0,0,0,0
2013,10,114,0,0,0,0,0,0,1,0,0,0,0,0
2014,9,114,0,0,0,0,0,0,1,0,0,0,0,0
2014,11,114,0,0,0,0,0,0,1,0,0,0,0,0
2007,7,131,0,0,0,0,0,0,0,0,1,0,0,0
2008,4,131,0,0,0,0,0,0,0,0,1,0,0,0
2009,9,131,0,0,0,0,0,0,0,0,1,0,0,0
2012,9,131,0,0,0,0,0,0,0,0,1,0,0,0
2006,1,133,0,2,0,0,1,1,0,0,25,0,0,0
2006,2,133,0,3,0,0,1,1,0,0,25,0,0,0
2006,3,133,0,4,0,0,1,0,0,0,25,0,0,0
2006,4,133,0,2,0,0,0,0,0,0,6,0,0,0
2006,5,133,0,4,0,0,2,0,0,0,15,0,0,0
2006,6,133,0,2,0,0,1,0,0,0,20,0,0,0
2006,7,133,0,1,0,0,0,0,0,0,20,0,0,0
2006,8,133,0,2,0,0,2,1,0,0,29,0,0,0
2006,9,133,0,4,0,0,1,0,0,0,20,0,0,0
2006,10,133,0,3,0,0,1,0,0,0,19,0,0,0
2006,11,133,0,3,0,0,0,1,0,0,20,0,0,0
2006,12,133,0,3,0,0,0,0,0,0,18,0,0,0
2007,1,133,0,4,0,0,1,0,0,0,14,0,0,0
2007,2,133,0,3,0,0,1,0,0,0,15,0,0,0
2007,3,133,0,6,0,0,1,0,0,0,30,0,0,0
2007,4,133,0,3,0,0,1,0,0,0,28,0,0,0
2007,5,133,0,2,0,0,0,0,0,0,19,0,0,0
2007,6,133,0,3,0,0,0,0,0,0,14,0,0,0
2007,7,133,0,1,0,0,1,0,0,0,14,0,0,0
2007,8,133,0,3,0,0,1,0,0,0,23,0,0,0
2007,9,133,0,1,0,0,1,0,0,0,20,0,0,0
2007,10,133,0,2,0,0,0,0,0,0,14,0,0,0
2007,11,133,0,1,0,0,1,0,0,0,24,0,0,0
